변환,원자료
2013-03-07,1083.60 
2013-03-08,1086.40 
2013-03-11,1090.30 
2013-03-12,1098.30 
2013-03-13,1095.00 
2013-03-14,1097.50 
2013-03-15,1105.00 
2013-03-18,1109.90 
2013-03-19,1114.80 
2013-03-20,1110.20 
2013-03-21,1117.50 
2013-03-22,1116.20 
2013-03-25,1117.20 
2013-03-26,1112.50 
2013-03-27,1107.90 
2013-03-28,1109.20 
2013-03-29,1112.10 
2013-04-01,1112.50 
2013-04-02,1115.50 
2013-04-03,1112.80 
2013-04-04,1120.60 
2013-04-05,1123.80 
2013-04-08,1127.10 
2013-04-09,1138.30 
2013-04-10,1138.90 
2013-04-11,1138.30 
2013-04-12,1129.00 
2013-04-15,1131.10 
2013-04-16,1124.70 
2013-04-17,1119.60 
2013-04-18,1115.30 
2013-04-19,1122.00 
2013-04-22,1118.50 
2013-04-23,1121.70 
2013-04-24,1120.20 
2013-04-25,1119.20 
2013-04-26,1113.90 
2013-04-29,1109.20 
2013-04-30,1108.10 
2013-05-02,1102.20 
2013-05-03,1099.70 
2013-05-06,1099.90 
2013-05-07,1094.00 
2013-05-08,1094.00 
2013-05-09,1087.70 
2013-05-10,1087.00 
2013-05-13,1102.60 
2013-05-14,1114.60 
2013-05-15,1109.40 
2013-05-16,1113.60 
2013-05-20,1114.30 
2013-05-21,1118.10 
2013-05-22,1112.90 
2013-05-23,1112.40 
2013-05-24,1123.70 
2013-05-27,1128.00 
2013-05-28,1125.10 
2013-05-29,1125.50 
2013-05-30,1131.00 
2013-05-31,1128.30 
2013-06-03,1126.60 
2013-06-04,1128.10 
2013-06-05,1121.80 
2013-06-07,1119.20 
2013-06-10,1111.40 
2013-06-11,1123.60 
2013-06-12,1133.70 
2013-06-13,1131.20 
2013-06-14,1134.80 
2013-06-17,1128.20 
2013-06-18,1128.00 
2013-06-19,1129.90 
2013-06-20,1133.00 
2013-06-21,1144.60 
2013-06-24,1155.60 
2013-06-25,1157.10 
2013-06-26,1159.10 
2013-06-27,1153.40 
2013-06-28,1149.70 
2013-07-01,1145.30 
2013-07-02,1136.90 
2013-07-03,1132.90 
2013-07-04,1140.60 
2013-07-05,1140.20 
2013-07-08,1141.70 
2013-07-09,1151.40 
2013-07-10,1144.70 
2013-07-11,1138.80 
2013-07-12,1124.90 
2013-07-15,1122.30 
2013-07-16,1122.60 
2013-07-17,1119.00 
2013-07-18,1118.10 
2013-07-19,1122.30 
2013-07-22,1123.50 
2013-07-23,1118.50 
2013-07-24,1116.50 
2013-07-25,1114.10 
